run_id,run_timestamp,place,query_start_date,query_end_date,dataset_type,query,is_evapotranspiration_related,parsed_place,start_date,end_date,query_type,date_intent,country,country_code,admin1,admin2,latitude,longitude,elevation_m,timezone,open_meteo_endpoint_used,open_meteo_request_url,actual_evapotranspiration_total_mm,et0_fao_total_mm_from_hourly,precipitation_total_mm,temperature_mean_c,relative_humidity_mean_percent,wind_speed_mean_kmh,vapour_pressure_deficit_mean_kpa,shortwave_radiation_mean_wm2,openai_interpretation_delay_sec,geocoding_api_delay_sec,open_meteo_weather_api_delay_sec,local_processing_delay_sec,chart_generation_delay_sec,openai_report_generation_delay_sec,network_delay_sec,total_delay_sec,model_used,interpretation_reason
20260506_034809_778056,2026-05-06 03:48:09,"Gangtok, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Gangtok, India today?

",True,"Gangtok, India",2026-05-06,2026-05-06,single_day,present,India,IN,Sikkim,Gangtok district,27.32574,88.61216,1654.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=27.32574&longitude=88.61216&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,3.06,2.96,1.5000000000000002,14.2375,82.04166666666667,1.975,0.35125,190.0,1.6967881460000172,0.6636503949998769,0.5589128399997207,0.0163030329999855,0.6823609159996522,7.823078905999864,9.045642140999462,11.594961824000166,gpt-5.4-mini,User asks for evapotranspiration level for today in a specific location.
20260506_034842_487738,2026-05-06 03:48:42,"Kolkata, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Kolkata, India today?

",True,"Kolkata, India",2026-05-06,2026-05-06,single_day,present,India,IN,West Bengal,Kolkata,22.56263,88.36304,11.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=22.56263&longitude=88.36304&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,3.28,4.43,9.3,27.129166666666663,84.33333333333333,3.595833333333333,0.6116666666666667,246.625,1.34518236599979,0.6861622299998089,0.5593417670002054,0.016516263000085,1.0274635939999823,8.593861508000373,9.839365505000387,12.371857795000324,gpt-5.4-mini,User asks for evapotranspiration level today in a specific location.
20260506_034935_582330,2026-05-06 03:49:35,"Pusa, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Pusa, India today?

",True,"Pusa, India",2026-05-06,2026-05-06,single_day,present,India,IN,Bihar,Samastipur,25.98619,85.67962,59.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=25.98619&longitude=85.67962&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,4.11,4.43,3.0,25.03333333333333,79.08333333333333,5.6875,0.7491666666666666,249.625,4.556739107999874,0.6905456219997177,0.606550058999801,0.0133773019997534,1.2212242289997448,8.420456770000328,9.717552450999849,15.62580356799981,gpt-5.4-mini,User asks for evapotranspiration level today in a specific location.
20260506_035001_597744,2026-05-06 03:50:01,"Puri, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Puri, India today?

",True,"Puri, India",2026-05-06,2026-05-06,single_day,present,India,IN,Odisha,Puri,19.79825,85.82494,16.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=19.79825&longitude=85.82494&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,4.26,4.51,0.0,28.541666666666668,80.875,12.383333333333336,0.7783333333333333,236.79166666666663,1.3967262020000817,0.6577157789997727,0.5304989740002384,0.0199230719999832,0.6653935790000105,7.740364308000153,8.928579061000164,11.135010221999892,gpt-5.4-mini,"User asks for evapotranspiration in Puri, India today, which is an ET-related single-day present query."
20260506_035120_635340,2026-05-06 03:51:20,"Ludhiana, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Ludhiana, India today?

",True,"Ludhiana, India",2026-05-06,2026-05-06,single_day,present,India,IN,Punjab,Ludhiana,30.91204,75.85379,256.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=30.91204&longitude=75.85379&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,2.52,5.109999999999999,0.0,25.316666666666663,61.75,5.270833333333333,1.4600000000000002,265.4166666666667,1.821278459000041,0.6586901460000263,0.5555791739998313,0.0212879040000188,1.0131546620000336,8.054684562000148,9.268953882000003,12.276465741000266,gpt-5.4-mini,"User asks for evapotranspiration in Ludhiana, India today."
20260506_035135_102656,2026-05-06 03:51:35,"Karnal, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Karnal, India today?

",True,"Karnal, India",2026-05-06,2026-05-06,single_day,present,India,IN,Haryana,Karnal,29.69197,76.98448,255.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=29.69197&longitude=76.98448&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,2.5,5.57,0.0,25.73333333333333,53.875,6.016666666666667,1.82875,266.25,1.303968707999957,0.6479006040003696,0.5249770349996652,0.0131367099997987,0.6840145890000713,6.499332469000365,7.672210108000399,9.789122773000145,gpt-5.4-mini,User asks for evapotranspiration level today in a specific location.
20260506_035154_997313,2026-05-06 03:51:54,"Lucknow, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Lucknow, India today?

",True,"Lucknow, India",2026-05-06,2026-05-06,single_day,present,India,IN,Uttar Pradesh,Lucknow,26.83928,80.92313,126.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=26.83928&longitude=80.92313&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,3.48,4.92,0.0,25.53333333333333,72.16666666666667,4.379166666666666,1.0558333333333332,264.1666666666667,1.4225089709998429,0.6728084870001112,0.5556819510002242,0.0163777510001637,0.6736490359999152,12.116390542999852,13.344880981000188,15.58342962400002,gpt-5.4-mini,"User asks for evapotranspiration level for today in Lucknow, India."
20260506_035215_816309,2026-05-06 03:52:15,"Guwahati, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Guwahati, India today?

",True,"Guwahati, India",2026-05-06,2026-05-06,single_day,present,India,IN,Assam,Kamrup Metro,26.1844,91.7458,59.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=26.1844&longitude=91.7458&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,3.770000000000001,4.35,2.3,25.23333333333333,83.20833333333333,4.754166666666666,0.6145833333333334,248.0833333333333,1.1500434129998212,0.6559720660002313,0.5559228330002952,0.0139855949996672,0.6711569889998827,7.7928939569997056,9.004788856000232,10.9590861329998,gpt-5.4-mini,User asks for evapotranspiration level for today in a specific location.
20260506_035239_958829,2026-05-06 03:52:39,"Jaipur, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Jaipur, India today?

",True,"Jaipur, India",2026-05-06,2026-05-06,single_day,present,India,IN,Rajasthan,Jaipur,26.91962,75.78781,435.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=26.91962&longitude=75.78781&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,2.66,6.0,0.0,27.52083333333333,46.0,6.295833333333333,2.242083333333333,275.5416666666667,1.2520913459998155,0.6512500720000389,0.5290090519997648,0.0165952150000521,0.6812605129998701,8.615758224000274,9.796017348000078,11.86162385999978,gpt-5.4-mini,"User asks for evapotranspiration in Jaipur, India for today."
20260506_035257_329445,2026-05-06 03:52:57,"Ahmedabad, India",2026-05-06,2026-05-06,evaluation_latency_metrics,"What is the evapotranspiration level in Ahmedabad, India today?

",True,"Ahmedabad, India",2026-05-06,2026-05-06,single_day,present,India,IN,Gujarat,Ahmadabad,23.02579,72.58727,56.0,Asia/Kolkata,Open-Meteo Forecast API,https://api.open-meteo.com/v1/forecast?latitude=23.02579&longitude=72.58727&start_date=2026-05-06&end_date=2026-05-06&hourly=temperature_2m%2Crelative_humidity_2m%2Cprecipitation%2Crain%2Cshowers%2Cwind_speed_10m%2Cwind_gusts_10m%2Cshortwave_radiation%2Cvapour_pressure_deficit%2Cevapotranspiration%2Cet0_fao_evapotranspiration&daily=temperature_2m_max%2Ctemperature_2m_mean%2Ctemperature_2m_min%2Cprecipitation_sum%2Crain_sum%2Cshowers_sum%2Cwind_speed_10m_max%2Cwind_gusts_10m_max%2Cshortwave_radiation_sum%2Cet0_fao_evapotranspiration&timezone=Asia%2FKolkata&temperature_unit=celsius&wind_speed_unit=kmh&precipitation_unit=mm&timeformat=iso8601&cell_selection=land,1.7400000000000002,6.3100000000000005,0.0,33.99166666666667,42.875,5.416666666666667,3.508333333333333,281.0833333333333,1.1449841600001491,0.6551556619997427,0.5243325680003181,0.0146584710000752,0.693248333000156,6.291321917000005,7.470810147000066,9.47054130699962,gpt-5.4-mini,User asks for evapotranspiration level for a specific place today.
